L1	L2	D'	LOD	r^2	CIlow	CIhi	Dist	T-int
rs6893843	rs214115	1.0	0.81	0.016	0.12	0.99	3377	9.92
rs6893843	rs300193	1.0	0.6	0.014	0.09	0.99	16171	-
rs6893843	rs1862166	1.0	4.91	0.164	0.69	1.0	30441	-
rs6893843	rs2560370	1.0	2.99	0.108	0.53	1.0	30571	-
rs6893843	rs2544955	1.0	0.61	0.014	0.09	0.99	31653	-
rs6893843	rs1154758	1.0	3.05	0.092	0.53	1.0	36431	-
rs6893843	rs13159031	0.881	0.13	0.006	0.05	0.97	39128	-
rs6893843	rs2964380	1.0	6.46	0.18	0.74	1.0	42135	-
rs6893843	rs2913578	1.0	17.68	0.662	0.87	1.0	46922	-
rs6893843	rs300206	1.0	0.28	0.01	0.06	0.98	51602	-
rs6893843	rs182462	1.0	3.51	0.101	0.58	1.0	52373	-
rs6893843	rs300209	1.0	2.8	0.077	0.5	1.0	54452	-
rs6893843	rs300218	1.0	5.69	0.161	0.72	1.0	56353	-
rs6893843	rs10515854	1.0	0.43	0.005	0.07	0.98	57270	-
rs6893843	rs982228	0.777	8.88	0.361	0.58	0.9	58419	-
rs6893843	rs12186371	0.065	0.0	0.0	0.03	0.95	68185	-
rs6893843	rs300237	0.067	0.0	0.0	0.03	0.95	69554	-
rs6893843	rs17061510	0.425	1.13	0.05	0.12	0.67	70452	-
rs6893843	rs300211	0.715	1.7	0.058	0.27	0.9	71332	-
rs6893843	rs2901732	0.012	0.0	0.0	0.0	0.32	71713	-
rs6893843	rs11742012	0.171	0.46	0.026	0.02	0.38	73732	-
rs6893843	rs300213	0.163	0.22	0.011	0.01	0.43	78603	-
rs6893843	rs300214	0.158	0.29	0.017	0.01	0.39	78756	-
rs6893843	rs2161132	0.359	1.64	0.083	0.13	0.56	80689	-
rs6893843	rs6873695	0.594	1.19	0.045	0.17	0.83	88466	-
rs6893843	rs734442	0.028	0.01	0.0	0.0	0.33	88756	-
rs6893843	rs4869033	0.48	1.72	0.074	0.19	0.7	98696	-
rs6893843	rs10746556	0.381	1.08	0.039	0.1	0.63	126406	-
rs6893843	rs10515857	0.005	0.0	0.0	-0.01	0.24	129544	-
rs6893843	rs17061586	0.384	2.26	0.098	0.17	0.58	131511	-
rs6893843	rs1363150	0.378	2.12	0.091	0.16	0.57	132888	-
rs6893843	rs13186063	0.341	0.14	0.004	0.03	0.78	146194	-
rs6893843	rs1025014	0.396	2.57	0.112	0.19	0.58	149529	-
rs6893843	rs9313968	0.539	0.84	0.033	0.11	0.8	151686	-
rs6893843	rs13172782	0.341	0.14	0.004	0.03	0.78	155671	-
rs6893843	rs4307107	0.624	1.45	0.053	0.21	0.84	160919	-
rs6893843	rs299304	0.384	2.26	0.098	0.17	0.58	166303	-
rs6893843	rs427056	0.088	0.01	0.0	0.01	0.66	169340	-
rs6893843	rs2069347	0.232	0.19	0.007	0.02	0.59	186776	-
rs6893843	rs2303076	0.627	0.45	0.011	0.07	0.9	207231	-
rs6893843	rs299287	0.39	1.1	0.046	0.11	0.63	213000	-
rs6893843	rs299284	0.253	1.29	0.051	0.08	0.44	216231	-
rs6893843	rs299283	0.39	1.1	0.046	0.11	0.63	216437	-
rs6893843	rs299290	0.436	1.6	0.067	0.16	0.66	222097	-
rs6893843	rs299295	0.413	1.29	0.059	0.13	0.64	229297	-
rs6893843	rs11748030	0.53	0.11	0.007	0.04	0.96	235994	-
rs6893843	rs4599554	0.276	0.98	0.04	0.07	0.5	239180	-
rs6893843	rs10038157	0.07	0.0	0.0	0.03	0.94	244367	-
rs6893843	rs10515861	0.165	0.11	0.006	0.01	0.52	250328	-
rs6893843	rs7722729	0.404	2.04	0.089	0.17	0.61	262017	-
rs6893843	rs17061797	0.161	0.02	0.001	0.02	0.74	263921	-
rs6893843	rs4869089	0.432	0.28	0.016	0.05	0.8	263989	-
rs6893843	rs7716203	0.205	0.14	0.006	0.02	0.58	267465	-
rs6893843	rs729352	0.549	0.56	0.014	0.08	0.84	268796	-
rs6893843	rs1496864	0.369	0.95	0.037	0.09	0.62	277208	-
rs6893843	rs7700282	0.266	1.1	0.049	0.07	0.47	277892	-
rs6893843	rs7722476	0.283	0.3	0.012	0.03	0.61	278042	-
rs6893843	rs4276433	0.181	0.05	0.002	0.02	0.68	285849	-
rs6893843	rs919258	0.014	0.0	0.0	-0.01	0.25	289337	-
rs6893843	rs297961	0.494	0.19	0.004	0.04	0.87	296733	-
rs6893843	rs17061883	0.024	0.01	0.0	-0.01	0.27	297864	-
rs6893843	rs297966	0.014	0.0	0.0	-0.01	0.25	299293	-
rs6893843	rs297968	0.201	0.06	0.002	0.02	0.68	300596	-
rs6893843	rs10074453	0.024	0.01	0.0	-0.01	0.26	301374	-
rs6893843	rs4301242	0.014	0.0	0.0	-0.01	0.25	304536	-
rs6893843	rs12654614	0.037	0.03	0.001	0.0	0.29	305236	-
rs6893843	rs12657750	0.014	0.0	0.0	-0.01	0.25	307805	-
rs6893843	rs177075	0.343	1.51	0.064	0.12	0.55	309194	-
rs6893843	rs2217265	0.37	0.48	0.02	0.05	0.68	309555	-
rs6893843	rs294598	0.417	0.06	0.004	0.04	0.95	311344	-
rs6893843	rs294597	0.444	1.34	0.054	0.14	0.68	311537	-
rs6893843	rs297951	0.495	1.19	0.043	0.14	0.74	314224	-
rs6893843	rs1433779	1.0	0.13	0.005	0.05	0.97	314644	-
rs6893843	rs294594	0.001	0.0	0.0	-0.01	0.28	315152	-
rs6893843	rs985254	0.502	0.9	0.038	0.11	0.76	316932	-
rs6893843	rs10037424	1.0	0.13	0.005	0.05	0.97	317191	-
rs6893843	rs294588	0.462	1.24	0.042	0.14	0.7	318096	-
rs6893843	rs294587	0.381	1.08	0.039	0.1	0.63	318639	-
rs6893843	rs6862542	0.384	0.87	0.033	0.09	0.64	327930	-
rs6893843	rs294580	0.334	0.73	0.026	0.06	0.6	333631	-
rs6893843	rs6876181	0.452	0.2	0.009	0.04	0.86	340916	-
rs6893843	rs1432655	0.635	1.0	0.037	0.15	0.87	348363	-
rs6893843	rs1433781	0.635	1.0	0.037	0.15	0.87	353590	-
rs6893843	rs17668553	0.298	0.93	0.044	0.07	0.56	357445	-
rs6893843	rs159199	0.354	0.52	0.023	0.05	0.65	360678	-
rs6893843	rs292410	0.691	0.7	0.039	0.11	0.91	362966	-
rs6893843	rs6878378	0.111	0.17	0.008	0.0	0.35	365525	-
rs6893843	rs3849745	1.0	2.02	0.064	0.37	1.0	378182	-
rs6893843	rs6880977	1.0	2.02	0.064	0.37	1.0	378704	-
rs6893843	rs3910253	0.587	1.16	0.034	0.16	0.82	380833	-
rs6893843	rs10070913	0.302	0.02	0.001	0.03	0.95	382829	-
rs6893843	rs3910251	0.678	1.33	0.041	0.21	0.88	386102	-
rs6893843	rs693845	0.678	1.33	0.041	0.21	0.88	387523	-
rs6893843	rs158836	0.265	0.44	0.02	0.03	0.54	388832	-
rs6893843	rs158842	0.327	0.4	0.02	0.04	0.64	392461	-
rs6893843	rs158845	0.314	0.36	0.018	0.04	0.63	393179	-
rs6893843	rs166078	0.327	0.4	0.02	0.04	0.64	393937	-
rs6893843	rs149402	0.308	0.53	0.026	0.05	0.59	394156	-
rs6893843	rs566509	0.014	0.0	0.0	-0.01	0.25	398280	-
rs6893843	rs158850	0.367	0.84	0.043	0.08	0.62	403113	-
rs6893843	rs6893725	0.011	0.0	0.0	-0.01	0.26	403537	-
rs6893843	rs17062147	0.014	0.0	0.0	-0.01	0.25	404610	-
rs6893843	rs158851	0.493	0.79	0.04	0.1	0.76	405247	-
rs6893843	rs158829	0.032	0.01	0.001	0.0	0.29	408550	-
rs6893843	rs537788	0.579	0.96	0.051	0.13	0.82	409386	-
rs6893843	rs424217	0.336	0.64	0.034	0.06	0.6	417423	-
rs6893843	rs509502	0.779	1.11	0.068	0.19	0.94	417971	-
rs6893843	rs292404	0.032	0.01	0.001	0.0	0.29	420261	-
rs6893843	rs292406	0.4	0.89	0.046	0.09	0.65	421680	-
rs6893843	rs3133041	0.056	0.04	0.002	0.0	0.32	423007	-
rs6893843	rs558968	0.779	1.11	0.068	0.19	0.94	429659	-
rs6893843	rs10057965	0.008	0.0	0.0	0.0	0.34	439389	-
rs6893843	rs531314	0.065	0.0	0.0	0.03	0.95	444201	-
rs6893843	rs489835	0.618	0.49	0.025	0.08	0.9	446382	-
rs6893843	rs4869096	0.575	0.12	0.007	0.05	0.96	456632	-
rs6893843	rs516512	1.0	0.45	0.031	0.08	0.98	457216	-
rs6893843	rs520002	0.266	0.13	0.004	0.02	0.7	457560	-
rs6893843	rs13328108	0.12	0.23	0.013	0.01	0.33	459166	-
rs6893843	rs497083	0.291	0.19	0.01	0.03	0.68	460223	-
rs6893843	rs580015	0.383	0.3	0.015	0.04	0.74	463441	-
rs6893843	rs10515864	0.417	0.06	0.004	0.04	0.95	472436	-
rs6893843	rs17610788	0.09	0.05	0.003	0.0	0.42	485048	-
rs6893843	rs642305	0.029	0.0	0.0	0.01	0.6	486284	-
rs6893843	rs17538699	0.623	0.15	0.01	0.05	0.96	489714	-
rs214115	rs300193	0.951	18.98	0.76	0.82	0.99	12794	56.07
rs214115	rs1862166	0.84	2.17	0.07	0.37	0.96	27064	-
rs214115	rs2560370	0.867	2.71	0.102	0.45	0.96	27194	-
rs214115	rs2544955	0.951	18.89	0.76	0.82	0.99	28276	-
rs214115	rs1154758	0.591	1.16	0.04	0.16	0.83	33054	-
rs214115	rs13159031	0.216	0.43	0.023	0.03	0.48	35751	-
rs214115	rs2964380	0.831	2.01	0.063	0.35	0.95	38758	-
rs214115	rs2913578	0.866	0.28	0.018	0.06	0.97	43545	-
rs214115	rs300206	0.934	12.44	0.533	0.74	0.99	48225	-
rs214115	rs182462	0.408	0.32	0.021	0.05	0.76	48996	-
rs214115	rs300209	0.623	0.93	0.037	0.14	0.86	51075	-
rs214115	rs300218	1.0	3.82	0.101	0.61	1.0	52976	-
rs214115	rs10515854	0.275	0.01	0.0	0.03	0.96	53893	-
rs214115	rs982228	1.0	0.48	0.027	0.08	0.98	55042	-
rs214115	rs12186371	0.079	0.09	0.003	0.0	0.36	64808	-
rs214115	rs300237	0.0	-0.0	0.0	0.02	0.81	66177	-
rs214115	rs17061510	0.047	0.03	0.001	0.0	0.3	67075	-
rs214115	rs300211	0.118	0.07	0.002	0.01	0.47	67955	-
rs214115	rs2901732	0.103	0.13	0.005	0.0	0.39	68336	-
rs214115	rs11742012	1.0	0.71	0.019	0.11	0.99	70355	-
rs214115	rs300213	0.446	0.29	0.008	0.05	0.8	75226	-
rs214115	rs300214	1.0	1.18	0.025	0.19	1.0	75379	-
rs214115	rs2161132	0.585	0.35	0.009	0.06	0.89	77312	-
rs214115	rs6873695	0.241	0.2	0.007	0.02	0.59	85089	-
rs214115	rs734442	0.109	0.18	0.006	0.0	0.34	85379	-
rs214115	rs4869033	0.742	1.01	0.028	0.17	0.93	95319	-
rs214115	rs10746556	0.33	0.1	0.007	0.03	0.84	123029	-
rs214115	rs10515857	0.0	-0.0	0.0	0.03	0.93	126167	-
rs214115	rs17061586	0.06	0.0	0.0	0.02	0.8	128134	-
rs214115	rs1363150	0.117	0.01	0.0	0.02	0.81	129511	-
rs214115	rs13186063	0.008	0.0	0.0	-0.01	0.26	142817	-
rs214115	rs1025014	0.693	0.18	0.011	0.05	0.97	146152	-
rs214115	rs9313968	0.277	0.28	0.011	0.03	0.61	148309	-
rs214115	rs13172782	0.008	0.0	0.0	-0.01	0.26	152294	-
rs214115	rs4307107	0.117	0.04	0.002	0.01	0.54	157542	-
rs214115	rs299304	0.866	0.28	0.018	0.06	0.97	162926	-
rs214115	rs427056	0.03	0.02	0.0	-0.01	0.27	165963	-
rs214115	rs2069347	0.249	0.26	0.007	0.02	0.57	183399	-
rs214115	rs2303076	0.063	0.08	0.002	0.0	0.28	203854	-
rs214115	rs299287	1.0	0.87	0.053	0.14	0.99	209623	-
rs214115	rs299284	1.0	0.54	0.02	0.09	0.98	212854	-
rs214115	rs299283	1.0	0.87	0.053	0.14	0.99	213060	-
rs214115	rs299290	0.968	0.39	0.044	0.07	0.98	218720	-
rs214115	rs299295	1.0	0.47	0.048	0.08	0.98	225920	-
rs214115	rs11748030	0.078	0.09	0.004	0.0	0.31	232617	-
rs214115	rs4599554	1.0	1.07	0.031	0.17	0.99	235803	-
rs214115	rs10038157	0.048	0.03	0.002	0.0	0.27	240990	-
rs214115	rs10515861	0.106	0.03	0.001	0.01	0.54	246951	-
rs214115	rs7722729	1.0	1.0	0.03	0.16	0.99	258640	-
rs214115	rs17061797	0.082	0.1	0.004	0.0	0.31	260544	-
rs214115	rs4869089	0.217	0.17	0.009	0.02	0.57	260612	-
rs214115	rs7716203	0.448	0.44	0.025	0.06	0.77	264088	-
rs214115	rs729352	0.052	0.0	0.0	0.02	0.79	265419	-
rs214115	rs1496864	0.211	0.06	0.003	0.02	0.74	273831	-
rs214115	rs7700282	1.0	0.81	0.024	0.13	0.99	274515	-
rs214115	rs7722476	0.135	0.04	0.002	0.01	0.58	274665	-
rs214115	rs4276433	0.126	0.13	0.005	0.01	0.41	282472	-
rs214115	rs919258	0.224	0.66	0.031	0.04	0.46	285960	-
rs214115	rs297961	0.178	0.02	0.001	0.02	0.82	293356	-
rs214115	rs17061883	0.155	0.01	0.0	0.03	0.95	294487	-
rs214115	rs297966	0.224	0.66	0.031	0.04	0.46	295916	-
rs214115	rs297968	0.115	0.11	0.004	0.0	0.4	297219	-
rs214115	rs10074453	0.125	0.27	0.012	0.01	0.33	297997	-
rs214115	rs4301242	0.224	0.66	0.031	0.04	0.46	301159	-
rs214115	rs12654614	0.658	0.09	0.005	0.04	0.96	301859	-
rs214115	rs12657750	0.295	0.02	0.001	0.03	0.95	304428	-
rs214115	rs177075	1.0	1.0	0.03	0.16	0.99	305817	-
rs214115	rs2217265	0.093	0.03	0.002	0.01	0.49	306178	-
rs214115	rs294598	0.087	0.01	0.0	0.01	0.72	307967	-
rs214115	rs294597	0.126	0.13	0.005	0.01	0.41	308160	-
rs214115	rs297951	0.129	0.03	0.002	0.01	0.62	310847	-
rs214115	rs1433779	0.438	1.18	0.056	0.13	0.72	311267	-
rs214115	rs294594	0.087	0.01	0.0	0.01	0.72	311775	-
rs214115	rs985254	0.157	0.08	0.005	0.01	0.54	313555	-
rs214115	rs10037424	0.438	1.18	0.056	0.13	0.72	313814	-
rs214115	rs294588	0.349	0.25	0.01	0.04	0.73	314719	-
rs214115	rs294587	0.115	0.11	0.004	0.0	0.4	315262	-
rs214115	rs6862542	0.195	0.21	0.011	0.02	0.5	324553	-
rs214115	rs294580	0.399	0.25	0.011	0.04	0.79	330254	-
rs214115	rs6876181	0.112	0.09	0.005	0.0	0.41	337539	-
rs214115	rs1432655	0.22	0.19	0.009	0.02	0.57	344986	-
rs214115	rs1433781	0.22	0.19	0.009	0.02	0.57	350213	-
rs214115	rs17668553	0.851	0.12	0.006	0.05	0.97	354068	-
rs214115	rs159199	0.262	0.41	0.016	0.03	0.55	357301	-
rs214115	rs292410	0.438	0.44	0.02	0.06	0.76	359589	-
rs214115	rs6878378	0.182	0.01	0.001	0.03	0.94	362148	-
rs214115	rs3849745	0.31	0.19	0.008	0.03	0.72	374805	-
rs214115	rs6880977	0.31	0.19	0.008	0.03	0.72	375327	-
rs214115	rs3910253	0.231	0.15	0.007	0.02	0.62	377456	-
rs214115	rs10070913	0.035	0.02	0.001	0.0	0.28	379452	-
rs214115	rs3910251	0.206	0.12	0.005	0.02	0.61	382725	-
rs214115	rs693845	0.206	0.12	0.005	0.02	0.61	384146	-
rs214115	rs158836	0.512	0.48	0.015	0.07	0.82	385455	-
rs214115	rs158842	0.743	1.02	0.047	0.17	0.93	389084	-
rs214115	rs158845	0.717	0.85	0.045	0.14	0.92	389802	-
rs214115	rs166078	0.743	1.02	0.047	0.17	0.93	390560	-
rs214115	rs149402	0.702	0.82	0.03	0.13	0.92	390779	-
rs214115	rs566509	0.295	0.02	0.001	0.03	0.95	394903	-
rs214115	rs158850	1.0	1.31	0.051	0.22	1.0	399736	-
rs214115	rs6893725	0.092	0.0	0.0	0.03	0.93	400160	-
rs214115	rs17062147	0.295	0.02	0.001	0.03	0.95	401233	-
rs214115	rs158851	0.766	1.14	0.058	0.19	0.93	401870	-
rs214115	rs158829	0.0	-0.0	0.0	0.02	0.79	405173	-
rs214115	rs537788	0.622	0.9	0.042	0.13	0.86	406009	-
rs214115	rs424217	1.0	1.25	0.055	0.21	0.99	414046	-
rs214115	rs509502	0.55	0.79	0.044	0.11	0.81	414594	-
rs214115	rs292404	0.0	-0.0	0.0	0.02	0.79	416884	-
rs214115	rs292406	1.0	1.22	0.055	0.2	0.99	418303	-
rs214115	rs3133041	0.012	0.0	0.0	-0.01	0.26	419630	-
rs214115	rs558968	0.55	0.79	0.044	0.11	0.81	426282	-
rs214115	rs10057965	0.039	0.02	0.001	0.0	0.32	436012	-
rs214115	rs531314	0.024	0.01	0.0	0.0	0.34	440824	-
rs214115	rs489835	0.064	0.03	0.001	0.0	0.37	443005	-
rs214115	rs4869096	0.356	0.05	0.003	0.04	0.95	453255	-
rs214115	rs516512	0.032	0.02	0.001	-0.01	0.27	453839	-
rs214115	rs520002	0.04	0.01	0.0	0.0	0.35	454183	-
rs214115	rs13328108	1.0	0.34	0.018	0.07	0.98	455789	-
rs214115	rs497083	0.061	0.02	0.001	0.0	0.43	456846	-
rs214115	rs580015	0.054	0.01	0.0	0.0	0.44	460064	-
rs214115	rs10515864	0.032	0.01	0.001	0.0	0.27	469059	-
rs214115	rs17610788	0.061	0.04	0.002	0.0	0.33	481671	-
rs214115	rs642305	0.097	0.05	0.001	0.0	0.44	482907	-
rs214115	rs17538699	0.296	0.07	0.003	0.03	0.83	486337	-
rs300193	rs1862166	1.0	3.84	0.084	0.61	1.0	14270	72.64
rs300193	rs2560370	0.848	2.3	0.082	0.39	0.96	14400	-
rs300193	rs2544955	1.0	27.0	1.0	0.93	1.0	15482	-
rs300193	rs1154758	0.592	1.2	0.034	0.17	0.83	20260	-
rs300193	rs13159031	0.341	1.25	0.07	0.1	0.58	22957	-
rs300193	rs2964380	1.0	3.71	0.076	0.6	1.0	25964	-
rs300193	rs2913578	1.0	0.86	0.021	0.13	0.99	30751	-
rs300193	rs300206	0.936	14.28	0.638	0.76	0.99	35431	-
rs300193	rs182462	0.575	0.65	0.035	0.09	0.85	36202	-
rs300193	rs300209	0.644	1.07	0.033	0.16	0.87	38281	-
rs300193	rs300218	1.0	3.92	0.085	0.62	1.0	40182	-
rs300193	rs10515854	0.159	0.16	0.009	0.01	0.51	41099	-
rs300193	rs982228	1.0	1.04	0.023	0.16	0.99	42248	-
rs300193	rs12186371	0.189	0.48	0.021	0.03	0.44	52014	-
rs300193	rs300237	0.086	0.15	0.006	0.0	0.31	53383	-
rs300193	rs17061510	0.013	0.0	0.0	0.0	0.55	54281	-
rs300193	rs300211	0.127	0.07	0.002	0.01	0.49	55161	-
rs300193	rs2901732	0.218	0.59	0.026	0.03	0.47	55542	-
rs300193	rs11742012	1.0	0.76	0.016	0.12	0.99	57561	-
rs300193	rs300213	0.298	0.1	0.003	0.03	0.77	62432	-
rs300193	rs300214	1.0	1.16	0.021	0.19	1.0	62585	-
rs300193	rs2161132	0.297	0.06	0.002	0.03	0.84	64518	-
rs300193	rs6873695	0.192	0.12	0.004	0.01	0.57	72295	-
rs300193	rs734442	0.08	0.09	0.003	0.0	0.33	72585	-
rs300193	rs4869033	0.647	0.57	0.018	0.09	0.9	82525	-
rs300193	rs10746556	0.274	0.07	0.004	0.03	0.83	110235	-
rs300193	rs10515857	1.0	0.35	0.014	0.07	0.98	113373	-
rs300193	rs17061586	0.101	0.15	0.007	0.0	0.33	115340	-
rs300193	rs1363150	0.09	0.12	0.005	0.0	0.32	116717	-
rs300193	rs13186063	0.039	0.02	0.001	0.0	0.3	130023	-
rs300193	rs1025014	0.025	0.01	0.0	-0.01	0.28	133358	-
rs300193	rs9313968	0.133	0.06	0.002	0.01	0.52	135515	-
rs300193	rs13172782	0.039	0.02	0.001	0.0	0.3	139500	-
rs300193	rs4307107	0.009	0.0	0.0	0.0	0.42	144748	-
rs300193	rs299304	0.03	0.0	0.0	0.03	0.93	150132	-
rs300193	rs427056	0.031	0.01	0.0	0.0	0.29	153169	-
rs300193	rs2069347	0.119	0.05	0.001	0.01	0.52	170605	-
rs300193	rs2303076	0.062	0.06	0.002	0.0	0.31	191060	-
rs300193	rs299287	1.0	0.53	0.045	0.09	0.98	196829	-
rs300193	rs299284	0.47	0.07	0.004	0.04	0.96	200060	-
rs300193	rs299283	1.0	0.53	0.045	0.09	0.98	200266	-
rs300193	rs299290	0.635	0.17	0.016	0.05	0.96	205926	-
rs300193	rs299295	0.206	0.03	0.002	0.02	0.82	213126	-
rs300193	rs11748030	0.167	0.02	0.001	0.02	0.81	219823	-
rs300193	rs4599554	0.332	0.08	0.003	0.03	0.84	223009	-
rs300193	rs10038157	0.181	0.01	0.0	0.03	0.95	228196	-
rs300193	rs10515861	0.012	0.0	0.0	0.0	0.34	234157	-
rs300193	rs7722729	0.457	0.17	0.005	0.04	0.86	245846	-
rs300193	rs17061797	0.015	0.0	0.0	-0.01	0.27	247750	-
rs300193	rs4869089	0.202	0.13	0.006	0.02	0.58	247818	-
rs300193	rs7716203	0.237	0.12	0.006	0.02	0.66	251294	-
rs300193	rs729352	0.193	0.03	0.002	0.02	0.81	252625	-
rs300193	rs1496864	0.05	0.02	0.001	0.0	0.38	261037	-
rs300193	rs7700282	0.407	0.12	0.003	0.04	0.86	261721	-
rs300193	rs7722476	0.112	0.02	0.001	0.01	0.61	261871	-
rs300193	rs4276433	0.05	0.02	0.001	0.0	0.38	269678	-
rs300193	rs919258	0.187	0.56	0.026	0.03	0.41	273166	-
rs300193	rs297961	1.0	0.45	0.019	0.08	0.98	280562	-
rs300193	rs17061883	0.03	0.01	0.001	0.0	0.3	281693	-
rs300193	rs297966	0.187	0.56	0.026	0.03	0.41	283122	-
rs300193	rs297968	0.037	0.01	0.0	0.0	0.37	284425	-
rs300193	rs10074453	0.153	0.35	0.015	0.01	0.37	285203	-
rs300193	rs4301242	0.187	0.56	0.026	0.03	0.41	288365	-
rs300193	rs12654614	0.317	0.02	0.001	0.03	0.96	289065	-
rs300193	rs12657750	0.011	0.0	0.0	-0.01	0.28	291634	-
rs300193	rs177075	0.296	0.06	0.002	0.03	0.84	293023	-
rs300193	rs2217265	0.136	0.07	0.003	0.01	0.53	293384	-
rs300193	rs294598	0.027	0.01	0.0	-0.01	0.25	295173	-
rs300193	rs294597	0.095	0.07	0.003	0.0	0.4	295366	-
rs300193	rs297951	0.008	0.0	0.0	0.01	0.58	298053	-
rs300193	rs1433779	0.327	0.81	0.037	0.07	0.63	298473	-
rs300193	rs294594	0.027	0.01	0.0	-0.01	0.25	298981	-
