L1	L2	D'	LOD	r^2	CIlow	CIhi	Dist	T-int
rs6893843	rs299290	0.436	1.6	0.067	0.16	0.66	222097	-
rs214115	rs299290	0.968	0.39	0.044	0.07	0.98	218720	-
rs300193	rs299290	0.635	0.17	0.016	0.05	0.96	205926	-
rs1862166	rs299290	0.373	1.61	0.065	0.14	0.56	191656	-
rs2560370	rs299290	0.503	1.63	0.078	0.19	0.71	191526	-
rs2544955	rs299290	0.68	0.2	0.018	0.05	0.97	190444	-
rs1154758	rs299290	0.622	2.76	0.102	0.33	0.8	185666	-
rs13159031	rs299290	0.661	2.14	0.096	0.29	0.86	182969	-
rs2964380	rs299290	0.32	1.26	0.053	0.1	0.51	179962	-
rs2913578	rs299290	0.221	0.64	0.026	0.04	0.43	175175	-
rs300206	rs299290	0.014	0.0	0.0	0.0	0.39	170495	-
rs182462	rs299290	0.379	0.82	0.041	0.08	0.62	169724	-
rs300209	rs299290	0.645	2.67	0.091	0.33	0.82	167645	-
rs300218	rs299290	0.334	1.12	0.051	0.09	0.54	165744	-
rs10515854	rs299290	0.31	0.02	0.001	0.03	0.96	164827	-
rs982228	rs299290	0.17	0.46	0.017	0.02	0.37	163678	-
rs12186371	rs299290	0.355	0.72	0.028	0.07	0.64	153912	-
rs300237	rs299290	0.076	0.04	0.002	0.0	0.4	152543	-
rs17061510	rs299290	0.215	0.9	0.036	0.05	0.38	151645	-
rs300211	rs299290	0.728	4.4	0.169	0.47	0.87	150765	-
rs2901732	rs299290	0.397	0.74	0.032	0.08	0.68	150384	-
rs11742012	rs299290	0.373	1.31	0.056	0.12	0.59	148365	-
rs300213	rs299290	0.262	1.31	0.056	0.08	0.43	143494	-
rs300214	rs299290	0.176	0.42	0.016	0.02	0.39	143341	-
rs2161132	rs299290	0.427	2.14	0.1	0.19	0.61	141408	-
rs6873695	rs299290	0.747	4.88	0.202	0.51	0.88	133631	-
rs734442	rs299290	0.023	0.01	0.0	-0.01	0.22	133341	-
rs4869033	rs299290	0.526	6.2	0.252	0.37	0.65	123401	-
rs10746556	rs299290	0.768	12.6	0.45	0.63	0.86	95691	-
rs10515857	rs299290	0.796	5.25	0.233	0.54	0.92	92553	-
rs17061586	rs299290	0.77	8.3	0.315	0.58	0.89	90586	-
rs1363150	rs299290	0.732	7.64	0.295	0.54	0.86	89209	-
rs13186063	rs299290	0.401	0.56	0.015	0.06	0.69	75903	-
rs1025014	rs299290	0.854	9.86	0.36	0.67	0.94	72568	-
rs9313968	rs299290	1.0	10.58	0.325	0.85	1.0	70411	-
rs13172782	rs299290	0.401	0.56	0.015	0.06	0.69	66426	-
rs4307107	rs299290	1.0	12.82	0.389	0.87	1.0	61178	-
rs299304	rs299290	0.864	11.2	0.397	0.69	0.95	55794	-
rs427056	rs299290	0.503	0.88	0.025	0.11	0.76	52757	-
rs2069347	rs299290	0.955	10.67	0.355	0.8	0.99	35321	-
rs2303076	rs299290	1.0	3.7	0.08	0.6	1.0	14866	-
rs299287	rs299290	1.0	32.46	0.87	0.93	1.0	9097	-
rs299284	rs299290	1.0	13.78	0.439	0.86	1.0	5866	-
rs299283	rs299290	1.0	32.46	0.87	0.93	1.0	5660	232.77
rs299290	rs299290	1	1	1	1	1	1
rs299290	rs299295	0.875	24.2	0.748	0.78	0.93	7200	180.67
rs299290	rs11748030	0.206	0.07	0.003	0.02	0.68	13897	-
rs299290	rs4599554	0.584	5.76	0.227	0.4	0.73	17083	-
rs299290	rs10038157	0.936	8.47	0.338	0.73	0.99	22270	-
rs299290	rs10515861	1.0	5.0	0.174	0.7	1.0	28231	-
rs299290	rs7722729	0.539	5.13	0.188	0.35	0.69	39920	-
rs299290	rs17061797	0.388	2.66	0.1	0.19	0.56	41824	-
rs299290	rs4869089	0.755	4.47	0.142	0.49	0.89	41892	-
rs299290	rs7716203	0.242	0.53	0.022	0.03	0.48	45368	-
rs299290	rs729352	0.627	1.42	0.052	0.21	0.84	46699	-
rs299290	rs1496864	0.462	4.42	0.167	0.29	0.6	55111	-
rs299290	rs7700282	0.418	2.34	0.09	0.2	0.61	55795	-
rs299290	rs7722476	0.791	7.72	0.262	0.6	0.9	55945	-
rs299290	rs4276433	0.346	2.2	0.093	0.16	0.5	63752	-
rs299290	rs919258	0.105	0.06	0.003	0.0	0.45	67240	-
rs299290	rs297961	0.296	0.88	0.043	0.07	0.51	74636	-
rs299290	rs17061883	0.354	0.88	0.032	0.08	0.62	75767	-
rs299290	rs297966	0.105	0.06	0.003	0.0	0.45	77196	-
rs299290	rs297968	0.336	2.03	0.086	0.15	0.5	78499	-
rs299290	rs10074453	0.21	0.67	0.026	0.03	0.41	79277	-
rs299290	rs4301242	0.105	0.06	0.003	0.0	0.45	82439	-
rs299290	rs12654614	0.411	1.1	0.04	0.11	0.67	83139	-
rs299290	rs12657750	0.303	0.7	0.025	0.06	0.57	85708	-
rs299290	rs177075	0.338	2.05	0.074	0.14	0.51	87097	-
rs299290	rs2217265	0.587	3.36	0.142	0.34	0.75	87458	-
rs299290	rs294598	0.046	0.03	0.001	0.0	0.29	89247	-
rs299290	rs294597	0.361	2.63	0.101	0.18	0.51	89440	-
rs299290	rs297951	0.573	4.23	0.162	0.36	0.73	92127	-
rs299290	rs1433779	1.0	0.22	0.014	0.05	0.97	92547	-
rs299290	rs294594	0.086	0.1	0.004	0.0	0.32	93055	-
rs299290	rs985254	0.589	3.27	0.148	0.34	0.75	94835	-
rs299290	rs10037424	1.0	0.22	0.014	0.05	0.97	95094	-
rs299290	rs294588	0.449	2.78	0.114	0.24	0.62	95999	-
rs299290	rs294587	0.32	2.04	0.078	0.14	0.48	96542	-
