L1	L2	D'	LOD	r^2	CIlow	CIhi	Dist	T-int
rs6893843	rs177075	0.343	1.51	0.064	0.12	0.55	309194	-
rs214115	rs177075	1.0	1.0	0.03	0.16	0.99	305817	-
rs300193	rs177075	0.296	0.06	0.002	0.03	0.84	293023	-
rs1862166	rs177075	0.18	0.29	0.01	0.02	0.44	278753	-
rs2560370	rs177075	0.166	0.17	0.006	0.01	0.47	278623	-
rs2544955	rs177075	0.309	0.07	0.002	0.03	0.84	277541	-
rs1154758	rs177075	0.223	0.26	0.008	0.02	0.53	272763	-
rs13159031	rs177075	0.057	0.03	0.001	0.0	0.38	270066	-
rs2964380	rs177075	0.166	0.26	0.009	0.01	0.42	267059	-
rs2913578	rs177075	0.177	0.66	0.026	0.03	0.36	262272	-
rs300206	rs177075	0.605	0.11	0.007	0.04	0.96	257592	-
rs182462	rs177075	0.164	0.15	0.005	0.01	0.48	256821	-
rs300209	rs177075	0.197	0.19	0.005	0.02	0.51	254742	-
rs300218	rs177075	0.264	0.56	0.021	0.04	0.51	252841	-
rs10515854	rs177075	0.054	0.0	0.0	0.02	0.83	251924	-
rs982228	rs177075	0.254	1.48	0.058	0.09	0.42	250775	-
rs12186371	rs177075	0.057	0.03	0.001	0.0	0.38	241009	-
rs300237	rs177075	0.237	0.03	0.001	0.02	0.83	239640	-
rs17061510	rs177075	0.233	0.71	0.027	0.04	0.44	238742	-
rs300211	rs177075	0.237	0.29	0.012	0.02	0.54	237862	-
rs2901732	rs177075	0.09	0.06	0.003	0.0	0.42	237481	-
rs11742012	rs177075	0.403	0.13	0.004	0.04	0.85	235462	-
rs300213	rs177075	0.295	0.12	0.005	0.03	0.76	230591	-
rs300214	rs177075	0.548	0.33	0.011	0.06	0.88	230438	-
rs2161132	rs177075	0.24	1.18	0.049	0.07	0.41	228505	-
rs6873695	rs177075	0.303	0.52	0.022	0.04	0.57	220728	-
rs734442	rs177075	0.085	0.01	0.0	0.01	0.64	220438	-
rs4869033	rs177075	0.242	0.88	0.035	0.05	0.44	210498	-
rs10746556	rs177075	0.266	0.88	0.035	0.06	0.47	182788	-
rs10515857	rs177075	0.457	0.17	0.005	0.04	0.86	179650	-
rs17061586	rs177075	0.393	3.08	0.127	0.21	0.55	177683	-
rs1363150	rs177075	0.371	2.84	0.117	0.19	0.53	176306	-
rs13186063	rs177075	0.489	0.43	0.015	0.06	0.82	163000	-
rs1025014	rs177075	0.441	3.6	0.148	0.25	0.6	159665	-
rs9313968	rs177075	0.215	0.23	0.01	0.02	0.53	157508	-
rs13172782	rs177075	0.489	0.43	0.015	0.06	0.82	153523	-
rs4307107	rs177075	0.237	0.38	0.014	0.03	0.51	148275	-
rs299304	rs177075	0.444	4.25	0.162	0.27	0.6	142891	-
rs427056	rs177075	0.565	0.66	0.02	0.1	0.84	139854	-
rs2069347	rs177075	0.137	0.14	0.005	0.01	0.42	122418	-
rs2303076	rs177075	0.755	1.1	0.029	0.19	0.93	101963	-
rs299287	rs177075	0.331	1.68	0.062	0.13	0.52	96194	-
rs299284	rs177075	0.577	5.7	0.226	0.38	0.73	92963	-
rs299283	rs177075	0.331	1.68	0.062	0.13	0.52	92757	-
rs299290	rs177075	0.338	2.05	0.074	0.14	0.51	87097	-
rs299295	rs177075	0.538	5.16	0.183	0.35	0.69	79897	-
rs11748030	rs177075	1.0	0.77	0.048	0.12	0.99	73200	-
rs4599554	rs177075	0.57	8.53	0.315	0.42	0.69	70014	-
rs10038157	rs177075	1.0	0.71	0.026	0.11	0.99	64827	-
rs10515861	rs177075	0.011	0.0	0.0	0.0	0.48	58866	-
rs7722729	rs177075	0.745	16.75	0.555	0.62	0.84	47177	-
rs17061797	rs177075	1.0	1.94	0.047	0.35	1.0	45273	-
rs4869089	rs177075	0.911	4.87	0.134	0.62	0.98	45205	-
rs7716203	rs177075	0.873	6.59	0.186	0.64	0.96	41729	-
rs729352	rs177075	0.575	1.03	0.029	0.14	0.82	40398	-
rs1496864	rs177075	0.834	10.96	0.351	0.66	0.93	31986	-
rs7700282	rs177075	0.961	22.59	0.73	0.84	1.0	31302	-
rs7722476	rs177075	0.817	5.79	0.181	0.57	0.93	31152	-
rs4276433	rs177075	0.724	1.76	0.046	0.28	0.9	23345	-
rs919258	rs177075	0.484	0.18	0.004	0.04	0.87	19857	-
rs297961	rs177075	1.0	1.29	0.034	0.22	1.0	12461	-
rs17061883	rs177075	0.573	0.28	0.006	0.05	0.89	11330	-
rs297966	rs177075	0.484	0.18	0.004	0.04	0.87	9901	-
rs297968	rs177075	0.731	1.85	0.048	0.3	0.9	8598	-
rs10074453	rs177075	0.557	0.56	0.013	0.08	0.84	7820	-
rs4301242	rs177075	0.484	0.18	0.004	0.04	0.87	4658	-
rs12654614	rs177075	0.54	0.23	0.005	0.05	0.88	3958	-
rs12657750	rs177075	0.601	0.34	0.007	0.06	0.89	1389	32.04
rs177075	rs177075	1	1	1	1	1	1
rs177075	rs2217265	1.0	10.43	0.266	0.83	1.0	361	68.65
rs177075	rs294598	0.127	0.02	0.001	0.02	0.72	2150	-
rs177075	rs294597	0.711	7.95	0.255	0.52	0.84	2343	-
rs177075	rs297951	0.948	10.7	0.287	0.77	0.99	5030	-
rs177075	rs1433779	1.0	0.76	0.009	0.11	0.99	5450	-
rs177075	rs294594	0.005	0.0	0.0	-0.01	0.22	5958	-
rs177075	rs985254	0.941	8.63	0.244	0.74	0.99	7738	-
rs177075	rs10037424	1.0	0.76	0.009	0.11	0.99	7997	-
rs177075	rs294588	0.611	4.43	0.136	0.38	0.77	8902	-
rs177075	rs294587	0.669	7.08	0.221	0.47	0.81	9445	-
